Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
TQM,120.00,"[120.0, 120.0, 121.0, 120.0, 119.5, 120.0, 121.5, 127.0, 125.0, 122.0]",0.96,1.15,1.39,149.00,42.75,43.41,51.28,1.03,True
BIZ,3.86,"[3.8, 3.7, 3.76, 3.8, 3.76, 3.76, 3.78, 3.78, 3.76, 3.74]",3.89,0.15,-0.64,4.06,2.40,20.02,0,1.03,False
EGCO,179.50,"[172.5, 168.5, 168.5, 170.0, 172.5, 172.5, 177.0, 178.5, 181.0, 182.0]",1.95,3.50,-1.49,296.00,161.00,10.98,10.61,1.02,True
SE,1.47,"[1.47, 1.47, 1.49, 1.51, 1.48, 1.48, 1.53, 1.52, 1.54, 1.53]",0.34,0.01,6.40,1.72,1.00,12.00,0,1.01,False
FSMART,7.55,"[6.9, 7.0, 7.0, 7.05, 7.0, 7.0, 7.1, 7.15, 7.15, 7.15]",3.97,0.30,-1.67,8.65,5.30,12.78,11.44,1.01,False
DRT,6.20,"[6.15, 6.15, 6.2, 6.05, 6.0, 5.95, 5.95, 5.95, 5.9, 5.95]",3.55,0.22,-0.80,6.85,4.06,10.92,9.51,1.01,False
TRUE,3.34,"[3.2, 3.14, 3.14, 3.14, 3.12, 3.16, 3.16, 3.18, 3.2, 3.24]",2.10,0.07,-2.46,4.06,1.99,51.59,102.41,1.00,True
WORK,15.80,"[15.7, 15.5, 16.0, 16.2, 16.3, 15.9, 16.7, 17.0, 17.1, 17.2]",1.77,0.28,2.00,18.70,5.30,48.52,44.40,0.98,False
NCH,0.98,"[0.98, 0.97, 0.9, 0.81, 0.8, 0.81, 0.81, 0.82, 0.81, 0.8]",4.08,0.04,-3.22,1.09,0.38,22.98,0,0.98,False
PTG,20.70,"[19.1, 19.0, 18.6, 18.4, 18.4, 18.1, 19.1, 18.3, 18.2, 18.4]",2.42,0.50,-4.28,20.50,8.95,22.48,18.08,0.98,True
AMANAH,4.28,"[4.06, 4.02, 4.02, 4.02, 4.0, 3.98, 4.14, 4.26, 4.24, 4.46]",3.04,0.13,-1.23,4.94,1.56,18.81,14.77,0.98,False
B-WORK,10.00,"[10.0, 9.95, 9.95, 9.95, 10.4, 10.3, 10.2, 10.5, 10.4, 10.5]",1.91,0.19,1.12,12.60,9.70,0.00,0,0.97,False
ASIMAR,2.32,"[2.14, 2.04, 1.93, 1.86, 1.85, 1.79, 1.79, 1.82, 1.81, 1.86]",4.31,0.10,-4.31,2.44,0.57,10.95,0,0.97,False
STC,0.67,"[0.67, 0.67, 0.67, 0.66, 0.66, 0.67, 0.66, 0.66, 0.66, 0.68]",2.39,0.02,-0.25,0.88,0.47,19.12,26.27,0.97,False
MEGA,39.50,"[37.75, 38.5, 39.5, 38.5, 37.25, 36.5, 37.5, 38.5, 38.25, 38.0]",1.37,0.54,-2.73,43.00,17.90,25.02,24.26,0.96,True
BH,132.00,"[126.5, 125.0, 125.5, 128.5, 126.0, 124.5, 125.0, 122.5, 125.0, 126.5]",1.55,2.05,-3.17,137.00,90.50,46.19,83.93,0.96,True
UTP,18.20,"[17.2, 17.0, 17.5, 17.1, 18.2, 17.9, 18.9, 19.3, 19.5, 19.5]",2.14,0.39,0.03,20.70,5.30,11.94,11.18,0.96,False
BGRIM,49.00,"[47.0, 46.0, 47.75, 48.0, 48.0, 48.0, 49.5, 49.75, 50.0, 50.5]",0.61,0.30,-1.83,59.00,27.25,41.82,0,0.94,True
UOBKH,3.84,"[3.7, 3.68, 3.7, 3.7, 3.72, 3.78, 3.62, 3.62, 3.6, 3.56]",2.60,0.10,-1.72,4.08,2.00,19.12,7.84,0.94,False
VL,1.91,"[1.86, 1.89, 1.89, 1.92, 1.9, 1.84, 1.77, 1.77, 1.75, 1.63]",2.62,0.05,-1.76,2.08,0.79,14.09,17.82,0.94,False
KIAT,0.56,"[0.54, 0.54, 0.55, 0.55, 0.55, 0.54, 0.57, 0.57, 0.59, 0.6]",1.79,0.01,-0.00,0.65,0.21,9.85,10.83,0.94,False
CPL,1.14,"[1.14, 1.15, 1.14, 1.14, 1.13, 1.13, 1.14, 1.15, 1.14, 1.14]",1.75,0.02,0.00,1.69,0.55,21.00,0,0.94,False
HANA,53.75,"[52.5, 49.5, 48.5, 48.0, 49.0, 50.25, 51.5, 52.5, 53.0, 52.5]",1.40,0.75,-4.03,59.50,18.10,15.78,22.47,0.93,True
TPIPL,1.68,"[1.66, 1.66, 1.66, 1.67, 1.64, 1.65, 1.67, 1.68, 1.72, 1.69]",1.79,0.03,-0.33,1.86,0.91,11.35,21.32,0.93,False
BTW,0.97,"[0.95, 0.94, 0.96, 0.94, 0.89, 0.88, 0.94, 0.99, 0.99, 1.0]",2.06,0.02,-1.10,1.16,0.32,13.82,0,0.93,False
BOFFICE,9.10,"[8.95, 8.75, 8.75, 8.95, 8.65, 8.55, 9.0, 9.15, 9.3, 9.35]",1.87,0.17,-0.94,17.20,8.55,0.00,0,0.93,False
WPH,1.83,"[1.79, 1.79, 1.79, 1.77, 1.77, 1.78, 1.77, 1.78, 1.76, 1.78]",2.05,0.04,-1.38,1.91,1.35,59.34,0,0.92,False
AIMCG,5.75,"[5.65, 5.55, 5.45, 5.45, 5.45, 5.5, 5.55, 5.55, 5.55, 5.55]",2.21,0.13,-1.77,8.10,4.34,0.00,0,0.92,False
MAKRO,36.25,"[35.5, 35.75, 35.75, 35.75, 35.75, 35.75, 36.0, 36.0, 35.75, 36.0]",1.66,0.60,-0.75,46.25,27.00,27.43,26.15,0.92,False
AIMIRT,11.40,"[11.1, 11.0, 11.0, 11.1, 11.0, 11.1, 11.0, 11.1, 11.2, 11.5]",1.91,0.22,-1.33,13.80,8.05,0.00,0,0.92,False
CTARAF,5.15,"[5.0, 5.0, 5.0, 5.05, 5.0, 5.0, 5.05, 5.05, 5.05, 5.05]",1.58,0.08,-1.54,5.50,4.48,0.00,0,0.90,False
EA,65.00,"[62.5, 61.0, 62.25, 63.5, 63.25, 63.5, 65.5, 66.25, 66.25, 65.0]",0.46,0.30,-3.67,71.75,27.50,29.77,0,0.90,True
NDR,1.94,"[1.89, 1.85, 1.78, 1.74, 1.72, 1.71, 1.76, 1.73, 1.73, 1.6]",2.58,0.05,-3.78,2.24,0.74,14.91,0,0.90,False
SONIC,2.76,"[2.7, 2.6, 2.78, 2.74, 2.7, 2.8, 2.46, 2.46, 2.36, 2.32]",1.99,0.06,-3.05,3.04,0.75,18.00,25.19,0.88,False
TFG,5.15,"[5.05, 5.0, 5.05, 5.05, 5.0, 5.0, 5.1, 5.15, 5.2, 5.3]",1.07,0.06,-1.09,5.85,2.20,14.25,0,0.88,False
ETE,1.31,"[1.16, 1.14, 1.16, 1.06, 1.04, 1.04, 1.14, 1.14, 1.14, 1.15]",2.85,0.04,-5.17,1.31,0.47,14.60,12.77,0.88,False
SFT,4.86,"[4.76, 4.76, 4.72, 4.72, 4.64, 4.6, 4.76, 4.72, 4.64, 4.6]",1.46,0.07,-2.36,5.10,3.66,28.66,27.80,0.87,False
ALLY,5.75,"[5.7, 5.7, 5.7, 5.7, 5.6, 5.65, 5.6, 5.6, 5.65, 5.65]",0.96,0.06,-1.73,9.05,5.40,0.00,0,0.86,False
THG,25.75,"[25.75, 25.5, 25.25, 24.7, 24.7, 24.6, 24.7, 24.6, 24.9, 25.0]",1.17,0.30,-2.60,27.00,15.00,71.11,0,0.85,False
SEAOIL,3.00,"[2.98, 2.92, 2.94, 2.94, 2.9, 2.96, 3.02, 3.08, 3.08, 3.12]",0.25,0.01,-0.81,3.34,1.36,31.63,99.03,0.85,False
JCT,85.00,"[84.0, 84.5, 0, 84.75, 84.75, 0, 0, 0, 85.5, 84.0]",4.12,3.50,-9.79,90.00,62.00,14.73,16.85,0.84,False
TNR,12.80,"[12.6, 12.4, 12.7, 12.5, 12.5, 0, 12.5, 12.5, 12.4, 12.7]",2.03,0.26,-5.85,14.20,4.50,28.05,29.69,0.83,False
SNP,15.20,"[13.2, 13.2, 13.5, 13.3, 13.0, 12.9, 13.4, 13.5, 13.7, 14.1]",1.64,0.25,-7.28,15.70,8.90,29.28,37.51,0.78,False
BROCK,1.68,"[1.65, 1.51, 1.58, 1.52, 1.6, 1.55, 1.51, 1.48, 1.49, 1.46]",1.19,0.02,-7.25,2.12,0.99,134.55,50.62,0.75,False
SAAM,1.31,"[1.22, 1.2, 1.21, 1.21, 1.2, 1.22, 1.22, 1.21, 1.21, 1.23]",0.99,0.01,-7.46,1.29,0.53,16.71,15.20,0.74,False
ASN,4.46,"[4.34, 4.36, 4.4, 4.4, 4.34, 4.32, 4.48, 4.4, 4.38, 4.36]",0.25,0.01,-7.38,6.30,3.62,28.36,0,0.71,False
TNP,4.56,"[4.46, 4.4, 4.3, 4.1, 4.06, 4.0, 4.08, 4.08, 4.06, 4.08]",0.88,0.04,-9.95,4.60,1.60,25.01,27.01,0.68,False
FN,1.25,"[1.21, 1.2, 1.2, 1.21, 1.2, 1.19, 1.22, 1.25, 1.24, 1.23]",0.30,0.00,-9.46,1.50,0.50,71.77,0,0.66,False
AIRA,1.16,"[1.01, 0.99, 0.99, 0.96, 0.97, 1.0, 0.97, 1.01, 0.99, 1.0]",1.12,0.01,-13.15,1.25,0.71,0.00,0,0.62,False
SYNEX,23.60,"[17.4, 16.9, 16.6, 16.5, 16.7, 16.7, 17.3, 17.4, 17.7, 18.0]",1.69,0.40,-16.20,18.80,3.60,17.92,24.16,0.58,False
IP,25.00,"[24.5, 24.5, 23.4, 24.4, 22.4, 24.2, 25.25, 25.75, 23.0, 23.4]",0.09,0.02,-39.32,28.50,3.80,30.05,0,0.00,False
