Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
TCCC,30.00,"[29.25, 29.5, 28.75, 29.75, 29.75, 30.0, 29.25, 29.0, 28.75, 28.5]",6.00,1.80,-0.42,31.25,15.10,11.80,11.81,1.14,False
MTI,86.00,"[85.5, 85.75, 86.5, 87.0, 86.0, 87.0, 87.25, 87.5, 87.5, 87.25]",5.24,4.51,0.16,95.75,63.00,11.61,8.59,1.11,False
TPIPP,4.40,"[4.3, 4.28, 4.3, 4.3, 4.32, 4.36, 4.36, 4.4, 4.42, 4.42]",3.41,0.15,-0.36,4.68,2.76,13.44,8.05,1.11,True
QLT,4.44,"[4.4, 4.32, 4.32, 4.26, 4.24, 4.24, 4.12, 4.2, 4.14, 4.12]",5.63,0.25,-0.82,5.30,3.24,59.35,13.75,1.11,False
MSC,6.20,"[6.0, 5.8, 6.1, 6.2, 6.25, 6.65, 6.65, 6.65, 6.65, 6.6]",4.84,0.30,0.52,7.80,3.64,10.69,14.21,1.10,False
SMK,40.25,"[39.0, 39.25, 39.0, 38.25, 37.25, 37.75, 38.25, 37.25, 38.0, 38.0]",5.47,2.20,-0.93,42.00,21.90,10.07,10.43,1.10,False
TK,8.75,"[8.6, 8.4, 8.4, 8.5, 8.3, 8.5, 9.15, 9.35, 9.4, 9.0]",4.80,0.42,0.02,9.75,6.35,12.03,11.83,1.09,False
NSI,83.50,"[82.75, 81.75, 81.75, 0, 81.5, 81.0, 82.0, 80.25, 80.25, 80.0]",5.69,4.75,-2.18,88.75,46.00,8.65,7.18,1.08,False
PSH,13.10,"[12.8, 12.7, 12.6, 12.7, 12.5, 12.4, 12.3, 12.3, 12.4, 12.5]",4.96,0.65,-0.89,15.30,8.30,7.79,10.19,1.08,False
PAP,3.86,"[3.8, 3.76, 3.76, 3.76, 3.6, 3.62, 3.88, 3.88, 3.86, 3.82]",4.66,0.18,-0.48,4.10,1.61,20.67,12.42,1.07,False
PMTA,11.10,"[10.1, 10.2, 10.3, 10.2, 10.2, 0, 10.1, 9.65, 9.85, 0]",6.31,0.70,-4.34,11.00,4.90,7.91,11.11,1.07,False
AS,6.70,"[6.3, 6.3, 6.5, 6.25, 6.0, 6.05, 6.9, 7.05, 7.0, 7.0]",4.48,0.30,-0.55,8.00,0.78,8.03,8.98,1.06,False
GFPT,12.00,"[11.8, 11.9, 11.8, 11.9, 12.2, 12.0, 12.5, 12.5, 12.7, 12.8]",1.67,0.20,1.05,14.70,7.25,12.44,10.95,1.06,True
TU,14.40,"[14.2, 13.9, 13.9, 13.8, 13.8, 13.6, 13.4, 13.5, 13.7, 13.7]",2.78,0.40,-1.63,16.30,10.20,15.43,10.73,1.05,True
RT,1.99,"[1.96, 1.94, 1.96, 1.94, 1.93, 1.92, 1.95, 1.97, 1.97, 1.96]",4.27,0.09,-0.47,2.18,1.66,8.51,9.15,1.05,False
BDMS,20.90,"[20.0, 20.0, 19.9, 20.1, 19.9, 20.0, 20.0, 20.1, 20.3, 20.7]",2.63,0.55,-1.45,23.70,15.60,38.07,44.50,1.05,True
TTW,12.10,"[12.0, 11.9, 11.8, 11.7, 11.7, 11.7, 11.7, 11.7, 11.7, 11.6]",2.48,0.30,-1.17,14.30,11.00,17.59,16.22,1.05,True
TIP,29.50,"[29.0, 28.75, 28.5, 28.25, 27.75, 27.75, 28.0, 28.5, 27.75, 27.5]",4.41,1.30,-1.02,31.75,16.60,8.60,8.50,1.05,False
TVO,33.75,"[33.0, 33.0, 34.0, 33.5, 32.25, 32.5, 32.5, 32.5, 32.5, 32.5]",2.37,0.80,-1.16,37.00,20.60,12.80,0,1.04,True
UEC,1.17,"[1.15, 1.13, 1.17, 1.22, 1.21, 1.19, 1.2, 1.25, 1.3, 1.31]",3.42,0.04,1.08,1.37,0.42,17.78,18.77,1.04,False
XO,12.60,"[12.6, 12.7, 13.3, 13.2, 12.4, 12.7, 12.9, 12.9, 13.3, 13.9]",3.49,0.44,0.89,14.90,3.14,21.59,17.07,1.04,False
UVAN,5.20,"[5.05, 4.94, 4.96, 5.1, 5.6, 5.65, 5.65, 5.75, 5.8, 5.75]",3.27,0.17,1.32,6.05,2.86,12.56,0,1.04,False
LIT,4.20,"[3.88, 3.94, 3.94, 3.94, 3.9, 4.0, 4.06, 4.06, 4.06, 4.12]",4.29,0.18,-1.17,4.34,2.00,9.48,0,1.04,False
AMA,5.40,"[5.3, 5.25, 5.3, 5.3, 5.15, 5.45, 5.7, 5.6, 5.55, 5.45]",3.70,0.20,0.02,6.55,2.72,19.83,16.11,1.03,False
GBX,0.61,"[0.62, 0.54, 0.53, 0.51, 0.51, 0.52, 0.51, 0.52, 0.52, 0.52]",4.92,0.03,-2.67,0.66,0.29,133.59,15.63,1.03,False
