Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
TIPCO,10.70,"[10.3, 10.2, 10.0, 9.6, 9.3, 9.5, 9.35, 9.0, 8.05, 7.85]",4.67,0.50,-2.77,11.00,4.04,28.06,10.92,1.16,False
TIP,29.50,"[29.0, 28.75, 28.5, 28.25, 27.75, 27.75, 28.0, 28.5, 27.75, 27.5]",4.41,1.30,-1.02,31.75,16.60,8.60,8.50,1.16,False
BCP,28.00,"[28.0, 28.75, 28.5, 27.5, 27.75, 26.75, 27.25, 28.25, 26.75, 27.0]",1.43,0.40,-0.88,29.75,13.40,3.65,0,1.14,True
GPSC,76.75,"[75.0, 74.0, 75.25, 76.0, 75.25, 75.25, 77.5, 78.5, 79.0, 79.75]",1.30,1.00,-0.20,88.00,42.75,38.07,28.45,1.14,True
BH,132.00,"[126.5, 125.0, 125.5, 128.5, 126.0, 124.5, 125.0, 122.5, 125.0, 126.5]",1.55,2.05,-3.17,137.00,90.50,46.19,83.93,1.13,True
AMA,5.40,"[5.3, 5.25, 5.3, 5.3, 5.15, 5.45, 5.7, 5.6, 5.55, 5.45]",3.70,0.20,0.02,6.55,2.72,19.83,16.11,1.13,False
TQM,120.00,"[120.0, 120.0, 121.0, 120.0, 119.5, 120.0, 121.5, 127.0, 125.0, 122.0]",0.96,1.15,1.39,149.00,42.75,43.41,51.28,1.13,True
BCPG,14.90,"[15.0, 14.7, 14.7, 14.6, 14.5, 14.7, 15.1, 15.0, 14.9, 15.0]",1.14,0.17,-0.47,17.85,9.32,19.52,20.71,1.13,True
MEGA,39.50,"[37.75, 38.5, 39.5, 38.5, 37.25, 36.5, 37.5, 38.5, 38.25, 38.0]",1.37,0.54,-2.73,43.00,17.90,25.02,24.26,1.13,True
XO,12.60,"[12.6, 12.7, 13.3, 13.2, 12.4, 12.7, 12.9, 12.9, 13.3, 13.9]",3.49,0.44,0.89,14.90,3.14,21.59,17.07,1.13,False
DRT,6.20,"[6.15, 6.15, 6.2, 6.05, 6.0, 5.95, 5.95, 5.95, 5.9, 5.95]",3.55,0.22,-0.80,6.85,4.06,10.92,9.51,1.12,False
GAHREIT,8.00,"[8.0, 8.0, 8.05, 7.95, 8.0, 8.05, 7.9, 7.9, 7.95, 0]",3.75,0.30,-2.73,8.75,6.85,0.00,0,1.12,False
GULF,34.75,"[33.25, 33.0, 33.25, 33.75, 33.5, 33.5, 33.75, 34.5, 34.0, 34.75]",1.09,0.38,-2.70,41.03,22.34,80.40,93.85,1.12,True
CPN,55.75,"[53.75, 52.25, 52.0, 53.0, 51.0, 50.5, 51.0, 51.0, 50.5, 51.5]",1.26,0.70,-5.86,59.25,33.25,26.03,25.85,1.11,True
DELTA,406.00,"[360.0, 379.0, 383.0, 392.0, 381.0, 390.0, 420.0, 426.0, 436.0, 418.0]",0.81,3.30,-2.27,838.00,27.00,43.65,63.23,1.11,True
SVH,412.00,"[406.0, 400.0, 404.0, 399.0, 399.0, 399.0, 396.0, 397.0, 399.0, 398.0]",3.16,13.00,-0.95,440.00,375.00,25.53,28.05,1.11,False
CBG,143.50,"[137.0, 135.5, 137.0, 132.0, 132.0, 132.0, 137.5, 139.0, 137.0, 134.5]",1.05,1.50,-5.43,152.50,46.25,41.46,39.01,1.10,True
JCT,85.00,"[84.0, 84.5, 0, 84.75, 84.75, 0, 0, 0, 85.5, 84.0]",4.12,3.50,-9.79,90.00,62.00,14.73,16.85,1.10,False
CPW,2.50,"[2.32, 2.26, 2.28, 2.26, 2.14, 2.26, 2.24, 2.32, 2.28, 2.24]",3.20,0.08,-3.00,2.70,0.88,21.42,26.72,1.10,False
FNS,4.72,"[4.56, 4.36, 4.26, 4.22, 4.16, 4.06, 4.14, 4.16, 4.18, 4.18]",3.18,0.15,-3.28,4.76,1.51,20.91,7.28,1.10,False
ZIGA,6.65,"[6.3, 6.1, 6.3, 6.45, 6.15, 7.25, 7.3, 7.15, 6.8, 6.65]",2.42,0.16,-0.03,7.90,0.57,19.14,28.27,1.08,False
STC,0.67,"[0.67, 0.67, 0.67, 0.66, 0.66, 0.67, 0.66, 0.66, 0.66, 0.68]",2.39,0.02,-0.25,0.88,0.47,19.12,26.27,1.08,False
SAT,18.60,"[18.8, 18.2, 18.5, 17.2, 17.2, 17.1, 16.9, 16.2, 16.8, 16.7]",2.58,0.48,-2.58,19.20,7.30,13.83,21.53,1.08,False
UTP,18.20,"[17.2, 17.0, 17.5, 17.1, 18.2, 17.9, 18.9, 19.3, 19.5, 19.5]",2.14,0.39,0.03,20.70,5.30,11.94,11.18,1.07,False
BKI,273.00,"[271.0, 271.0, 269.0, 269.0, 269.0, 269.0, 269.0, 270.0, 269.0, 269.0]",2.20,6.00,-0.58,289.00,173.00,13.03,10.66,1.07,False
NDR,1.94,"[1.89, 1.85, 1.78, 1.74, 1.72, 1.71, 1.76, 1.73, 1.73, 1.6]",2.58,0.05,-3.78,2.24,0.74,14.91,0,1.07,False
QHPF,9.15,"[9.05, 9.1, 9.1, 9.15, 9.1, 9.2, 9.2, 9.3, 9.3, 9.3]",1.79,0.16,0.18,12.90,8.85,0.00,0,1.06,False
KIAT,0.56,"[0.54, 0.54, 0.55, 0.55, 0.55, 0.54, 0.57, 0.57, 0.59, 0.6]",1.79,0.01,-0.00,0.65,0.21,9.85,10.83,1.06,False
VCOM,5.30,"[5.05, 4.96, 5.05, 5.05, 5.0, 4.84, 5.3, 5.45, 5.6, 5.65]",1.89,0.10,-1.05,6.50,1.40,16.12,17.22,1.06,False
SONIC,2.76,"[2.7, 2.6, 2.78, 2.74, 2.7, 2.8, 2.46, 2.46, 2.36, 2.32]",1.99,0.06,-3.05,3.04,0.75,18.00,25.19,1.05,False
MAKRO,36.25,"[35.5, 35.75, 35.75, 35.75, 35.75, 35.75, 36.0, 36.0, 35.75, 36.0]",1.66,0.60,-0.75,46.25,27.00,27.43,26.15,1.05,False
TPRIME,11.30,"[11.2, 10.8, 10.8, 10.5, 10.6, 10.7, 10.7, 10.9, 11.0, 11.1]",1.74,0.20,-2.39,16.20,10.30,0.00,0,1.04,False
SFT,4.86,"[4.76, 4.76, 4.72, 4.72, 4.64, 4.6, 4.76, 4.72, 4.64, 4.6]",1.46,0.07,-2.36,5.10,3.66,28.66,27.80,1.03,False
JR,8.00,"[7.8, 7.75, 7.8, 7.9, 8.0, 8.15, 8.15, 8.4, 8.5, 8.75]",0.75,0.06,2.00,9.15,6.90,68.06,69.82,1.03,False
VIH,8.40,"[7.95, 7.8, 7.85, 7.65, 7.55, 7.8, 7.9, 7.9, 7.9, 7.65]",1.49,0.12,-4.84,8.30,4.70,25.86,25.12,1.02,False
THG,25.75,"[25.75, 25.5, 25.25, 24.7, 24.7, 24.6, 24.7, 24.6, 24.9, 25.0]",1.17,0.30,-2.60,27.00,15.00,71.11,0,1.02,False
WHART,11.40,"[10.8, 10.7, 10.8, 10.9, 11.0, 11.2, 11.5, 11.5, 11.8, 11.8]",1.05,0.12,-1.67,17.20,10.70,0.00,0,1.02,False
LHPF,5.20,"[5.15, 5.15, 5.1, 5.1, 5.2, 5.15, 5.15, 5.05, 5.05, 5.0]",0.96,0.05,-1.80,7.75,5.00,0.00,0,1.02,False
BROCK,1.68,"[1.65, 1.51, 1.58, 1.52, 1.6, 1.55, 1.51, 1.48, 1.49, 1.46]",1.19,0.02,-7.25,2.12,0.99,134.55,50.62,1.00,False
SEAOIL,3.00,"[2.98, 2.92, 2.94, 2.94, 2.9, 2.96, 3.02, 3.08, 3.08, 3.12]",0.25,0.01,-0.81,3.34,1.36,31.63,99.03,0.99,False
SAAM,1.31,"[1.22, 1.2, 1.21, 1.21, 1.2, 1.22, 1.22, 1.21, 1.21, 1.23]",0.99,0.01,-7.46,1.29,0.53,16.71,15.20,0.99,False
SYNEX,23.60,"[17.4, 16.9, 16.6, 16.5, 16.7, 16.7, 17.3, 17.4, 17.7, 18.0]",1.69,0.40,-16.20,18.80,3.60,17.92,24.16,0.98,False
TNP,4.56,"[4.46, 4.4, 4.3, 4.1, 4.06, 4.0, 4.08, 4.08, 4.06, 4.08]",0.88,0.04,-9.95,4.60,1.60,25.01,27.01,0.97,False
DOHOME,19.90,"[20.4, 19.9, 19.4, 17.8, 17.2, 17.1, 16.9, 17.0, 17.1, 17.1]",0.05,0.01,-206.28,19.94,3.58,45.73,62.58,0.10,True
