Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
ASK,21.90,"[21.8, 21.1, 20.9, 20.6, 20.5, 20.6, 23.0, 23.3, 22.8, 22.4]",7.76,1.70,-0.12,23.60,14.20,10.03,8.77,1.29,False
THANI,4.18,"[4.12, 4.02, 4.08, 4.06, 4.1, 4.12, 4.14, 4.26, 4.3, 4.44]",4.07,0.17,-0.09,4.74,2.18,15.31,12.60,1.25,True
AI,2.36,"[2.34, 2.34, 2.36, 2.34, 2.3, 2.26, 2.46, 2.4, 2.36, 2.4]",6.36,0.15,-0.03,2.58,0.71,6.35,8.82,1.24,False
QLT,4.44,"[4.4, 4.32, 4.32, 4.26, 4.24, 4.24, 4.12, 4.2, 4.14, 4.12]",5.63,0.25,-0.82,5.30,3.24,59.35,13.75,1.20,False
PHOL,2.64,"[2.8, 2.76, 2.78, 2.74, 2.74, 2.7, 2.76, 2.7, 2.68, 2.68]",5.30,0.14,0.67,3.30,1.25,5.22,7.73,1.20,False
IFS,2.60,"[2.58, 2.6, 2.58, 2.6, 2.56, 2.56, 2.64, 2.64, 2.62, 2.56]",5.38,0.14,-0.04,3.04,1.69,9.21,9.60,1.20,False
SMK,40.25,"[39.0, 39.25, 39.0, 38.25, 37.25, 37.75, 38.25, 37.25, 38.0, 38.0]",5.47,2.20,-0.93,42.00,21.90,10.07,10.43,1.20,False
TU,14.40,"[14.2, 13.9, 13.9, 13.8, 13.8, 13.6, 13.4, 13.5, 13.7, 13.7]",2.78,0.40,-1.63,16.30,10.20,15.43,10.73,1.19,True
DREIT,4.18,"[4.3, 4.26, 4.24, 4.24, 4.22, 4.2, 4.1, 3.98, 3.98, 3.92]",5.10,0.21,-0.17,5.40,3.22,0.00,0,1.19,False
BDMS,20.90,"[20.0, 20.0, 19.9, 20.1, 19.9, 20.0, 20.0, 20.1, 20.3, 20.7]",2.63,0.55,-1.45,23.70,15.60,38.07,44.50,1.18,True
TTW,12.10,"[12.0, 11.9, 11.8, 11.7, 11.7, 11.7, 11.7, 11.7, 11.7, 11.6]",2.48,0.30,-1.17,14.30,11.00,17.59,16.22,1.18,True
MSC,6.20,"[6.0, 5.8, 6.1, 6.2, 6.25, 6.65, 6.65, 6.65, 6.65, 6.6]",4.84,0.30,0.52,7.80,3.64,10.69,14.21,1.18,False
PSH,13.10,"[12.8, 12.7, 12.6, 12.7, 12.5, 12.4, 12.3, 12.3, 12.4, 12.5]",4.96,0.65,-0.89,15.30,8.30,7.79,10.19,1.18,False
PAP,3.86,"[3.8, 3.76, 3.76, 3.76, 3.6, 3.62, 3.88, 3.88, 3.86, 3.82]",4.66,0.18,-0.48,4.10,1.61,20.67,12.42,1.17,False
CSC,54.75,"[53.5, 53.75, 53.5, 53.75, 53.5, 53.75, 53.5, 53.75, 54.25, 54.25]",4.47,2.45,-0.41,57.50,39.00,9.64,11.08,1.16,False
PTT,41.00,"[39.5, 39.75, 39.75, 39.5, 40.0, 39.5, 39.5, 40.0, 40.5, 41.25]",2.00,0.82,-1.31,45.00,23.20,18.48,30.06,1.16,True
GFPT,12.00,"[11.8, 11.9, 11.8, 11.9, 12.2, 12.0, 12.5, 12.5, 12.7, 12.8]",1.67,0.20,1.05,14.70,7.25,12.44,10.95,1.16,True
