Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
QHPF,9.10,"[9.1, 9.1, 9.15, 9.1, 9.2, 9.2, 9.3, 9.3, 9.3, 9.35]",1.80,0.16,0.67,12.90,8.85,0.00,0,1.08,False
VCOM,5.15,"[4.96, 5.05, 5.05, 5.0, 4.84, 5.3, 5.45, 5.6, 5.65, 5.65]",1.94,0.10,1.05,6.50,1.40,16.12,17.22,1.07,False
SYNEX,18.30,"[16.9, 16.6, 16.5, 16.7, 16.7, 17.3, 17.4, 17.7, 18.0, 17.5]",2.19,0.40,-2.93,18.80,3.60,17.60,22.57,1.07,False
KIAT,0.55,"[0.54, 0.55, 0.55, 0.55, 0.54, 0.57, 0.57, 0.59, 0.6, 0.58]",1.82,0.01,1.40,0.65,0.21,9.85,10.83,1.07,False
GFPT,11.80,"[11.9, 11.8, 11.9, 12.2, 12.0, 12.5, 12.5, 12.7, 12.8, 12.7]",1.69,0.20,2.50,14.70,7.25,12.48,11.13,1.07,True
PTT,39.75,"[39.75, 39.75, 39.5, 40.0, 39.5, 39.5, 40.0, 40.5, 41.25, 40.75]",2.06,0.82,0.37,45.00,23.20,18.52,30.25,1.07,True
TPRIME,11.40,"[10.8, 10.8, 10.5, 10.6, 10.7, 10.7, 10.9, 11.0, 11.1, 11.1]",1.73,0.20,-2.95,16.20,10.30,0.00,0,1.07,False
SONIC,2.74,"[2.6, 2.78, 2.74, 2.7, 2.8, 2.46, 2.46, 2.36, 2.32, 2.28]",2.01,0.06,-3.45,3.04,0.75,17.96,25.00,1.06,False
BCP,28.50,"[28.75, 28.5, 27.5, 27.75, 26.75, 27.25, 28.25, 26.75, 27.0, 25.75]",1.40,0.40,-2.69,29.75,13.40,3.65,0,1.05,True
MAKRO,35.75,"[35.75, 35.75, 35.75, 35.75, 35.75, 36.0, 36.0, 35.75, 36.0, 36.0]",1.68,0.60,0.17,46.25,27.00,27.47,26.33,1.05,False
WHART,10.90,"[10.7, 10.8, 10.9, 11.0, 11.2, 11.5, 11.5, 11.8, 11.8, 11.8]",1.10,0.12,3.35,17.20,10.70,0.00,0,1.04,False
VIH,8.20,"[7.8, 7.85, 7.65, 7.55, 7.8, 7.9, 7.9, 7.9, 7.65, 7.7]",1.52,0.12,-3.44,8.15,4.70,25.67,24.20,1.03,False
THG,26.00,"[25.5, 25.25, 24.7, 24.7, 24.6, 24.7, 24.6, 24.9, 25.0, 25.0]",1.15,0.30,-3.68,27.00,15.00,71.11,0,1.03,False
MEGA,38.75,"[38.5, 39.5, 38.5, 37.25, 36.5, 37.5, 38.5, 38.25, 38.0, 37.75]",1.39,0.54,-1.34,43.00,17.90,25.08,24.57,1.02,True
LHPF,5.15,"[5.15, 5.1, 5.1, 5.2, 5.15, 5.15, 5.05, 5.05, 5.0, 5.25]",0.97,0.05,-0.60,7.85,5.00,0.00,0,1.02,False
GPSC,75.75,"[74.0, 75.25, 76.0, 75.25, 75.25, 77.5, 78.5, 79.0, 79.75, 79.5]",1.32,1.00,1.25,88.00,42.75,38.00,28.07,1.02,True
SFT,4.94,"[4.76, 4.72, 4.72, 4.64, 4.6, 4.76, 4.72, 4.64, 4.6, 4.58]",1.44,0.07,-3.74,5.10,3.66,28.16,26.79,1.02,False
BCPG,15.00,"[14.7, 14.7, 14.6, 14.5, 14.7, 15.1, 15.0, 14.9, 15.0, 15.1]",1.13,0.17,-1.00,17.85,9.32,19.58,20.99,1.01,True
SAAM,1.23,"[1.2, 1.21, 1.21, 1.2, 1.22, 1.22, 1.21, 1.21, 1.23, 1.2]",1.06,0.01,-1.46,1.29,0.53,16.67,15.08,1.01,False
CPN,55.25,"[52.25, 52.0, 53.0, 51.0, 50.5, 51.0, 51.0, 50.5, 51.5, 51.75]",1.27,0.70,-5.43,59.25,33.25,25.93,25.38,1.00,True
DELTA,360.00,"[379.0, 383.0, 392.0, 381.0, 390.0, 420.0, 426.0, 436.0, 418.0, 410.0]",0.92,3.30,13.18,838.00,27.00,44.31,66.57,0.99,True
CBG,137.50,"[135.5, 137.0, 132.0, 132.0, 132.0, 137.5, 139.0, 137.0, 134.5, 131.5]",1.09,1.50,-1.80,152.50,46.25,41.46,39.01,0.99,True
BH,127.00,"[125.0, 125.5, 128.5, 126.0, 124.5, 125.0, 122.5, 125.0, 126.5, 125.0]",1.61,2.05,-0.80,137.00,90.50,46.72,86.57,0.98,True
TQM,120.00,"[120.0, 121.0, 120.0, 119.5, 120.0, 121.5, 127.0, 125.0, 122.0, 120.5]",0.96,1.15,1.43,149.00,42.75,43.47,51.50,0.98,True
TNP,4.52,"[4.4, 4.3, 4.1, 4.06, 4.0, 4.08, 4.08, 4.06, 4.08, 4.04]",0.88,0.04,-10.00,4.60,1.60,24.89,26.42,0.97,False
BROCK,1.70,"[1.51, 1.58, 1.52, 1.6, 1.55, 1.51, 1.48, 1.49, 1.46, 1.38]",1.18,0.02,-9.60,2.12,0.99,134.55,50.62,0.96,False
JR,8.10,"[7.75, 7.8, 7.9, 8.0, 8.15, 8.15, 8.4, 8.5, 8.75, 8.75]",0.74,0.06,1.92,9.15,6.90,66.98,67.66,0.95,False
GULF,34.25,"[33.0, 33.25, 33.75, 33.5, 33.5, 33.75, 34.5, 34.0, 34.75, 34.75]",1.11,0.38,-0.99,41.03,22.34,79.85,91.11,0.94,True
SEAOIL,3.00,"[2.92, 2.94, 2.94, 2.9, 2.96, 3.02, 3.08, 3.08, 3.12, 3.08]",0.25,0.01,0.54,3.34,1.36,31.63,99.03,0.88,False
DOHOME,21.00,"[19.9, 19.4, 17.8, 17.2, 17.1, 16.9, 17.0, 17.1, 17.1, 16.9]",0.04,0.01,-362.88,21.40,3.88,44.93,60.20,-0.06,True
