Sym,Price,PriceHis,DY%,DY,diffPrice/DY%,H52,L52,AvgPE,PE,Score,isSET100
ASK,22.00,"[21.1, 20.9, 20.6, 20.5, 20.6, 23.0, 23.3, 22.8, 22.4, 22.1]",7.73,1.70,-0.16,23.60,14.20,10.01,8.69,1.46,False
AI,2.36,"[2.34, 2.36, 2.34, 2.3, 2.26, 2.46, 2.4, 2.36, 2.4, 2.36]",6.36,0.15,-0.01,2.58,0.71,6.35,8.82,1.37,False
SMK,39.50,"[39.25, 39.0, 38.25, 37.25, 37.75, 38.25, 37.25, 38.0, 38.0, 38.0]",5.57,2.20,-0.64,42.00,21.90,10.05,10.36,1.31,False
QLT,4.44,"[4.32, 4.32, 4.26, 4.24, 4.24, 4.12, 4.2, 4.14, 4.12, 4.08]",5.63,0.25,-0.94,5.30,3.24,59.34,13.69,1.31,False
IFS,2.60,"[2.6, 2.58, 2.6, 2.56, 2.56, 2.64, 2.64, 2.62, 2.56, 2.54]",5.38,0.14,-0.07,3.04,1.69,9.21,9.60,1.30,False
DREIT,4.30,"[4.26, 4.24, 4.24, 4.22, 4.2, 4.1, 3.98, 3.98, 3.92, 3.9]",4.95,0.21,-0.92,5.50,3.22,0.00,0,1.28,False
PSH,12.90,"[12.7, 12.6, 12.7, 12.5, 12.4, 12.3, 12.3, 12.4, 12.5, 12.5]",5.04,0.65,-0.63,15.30,8.30,7.77,10.11,1.28,False
PHOL,2.82,"[2.76, 2.78, 2.74, 2.74, 2.7, 2.76, 2.7, 2.68, 2.68, 2.66]",4.96,0.14,-0.71,3.30,1.25,5.23,7.79,1.28,False
MSC,6.15,"[5.8, 6.1, 6.2, 6.25, 6.65, 6.65, 6.65, 6.65, 6.6, 6.6]",4.88,0.30,0.88,7.80,3.64,10.69,14.21,1.27,False
PAP,3.82,"[3.76, 3.76, 3.76, 3.6, 3.62, 3.88, 3.88, 3.86, 3.82, 3.9]",4.71,0.18,-0.20,4.10,1.61,20.64,12.29,1.26,False
CSC,54.25,"[53.75, 53.5, 53.75, 53.5, 53.75, 53.5, 53.75, 54.25, 54.25, 53.75]",4.52,2.45,-0.19,57.50,39.00,9.63,11.03,1.24,False
TIP,29.25,"[28.75, 28.5, 28.25, 27.75, 27.75, 28.0, 28.5, 27.75, 27.5, 27.5]",4.44,1.30,-0.94,31.75,16.60,8.59,8.43,1.24,False
TIPCO,10.90,"[10.2, 10.0, 9.6, 9.3, 9.5, 9.35, 9.0, 8.05, 7.85, 7.75]",4.59,0.50,-3.68,10.80,4.04,27.98,10.52,1.24,False
THANI,4.14,"[4.02, 4.08, 4.06, 4.1, 4.12, 4.14, 4.26, 4.3, 4.44, 4.38]",4.11,0.17,0.29,4.74,2.18,15.31,12.60,1.22,True
GAHREIT,8.00,"[8.0, 8.05, 7.95, 8.0, 8.05, 7.9, 7.9, 7.95, 0, 7.75]",3.75,0.30,-2.82,8.95,6.85,0.00,0,1.20,False
AMA,5.30,"[5.25, 5.3, 5.3, 5.15, 5.45, 5.7, 5.6, 5.55, 5.45, 5.35]",3.77,0.20,0.55,6.55,2.72,19.87,16.27,1.19,False
JCT,84.00,"[84.5, 0, 84.75, 84.75, 0, 0, 0, 85.5, 84.0, 0]",4.17,3.50,-11.90,90.00,62.00,14.75,16.95,1.18,False
DRT,6.20,"[6.15, 6.2, 6.05, 6.0, 5.95, 5.95, 5.95, 5.9, 5.95, 6.0]",3.55,0.22,-0.86,6.85,4.06,10.90,9.43,1.18,False
XO,12.80,"[12.7, 13.3, 13.2, 12.4, 12.7, 12.9, 12.9, 13.3, 13.9, 13.9]",3.44,0.44,0.73,14.90,3.14,21.67,17.47,1.17,False
FNS,4.70,"[4.36, 4.26, 4.22, 4.16, 4.06, 4.14, 4.16, 4.18, 4.18, 4.22]",3.19,0.15,-3.37,4.60,1.51,20.87,7.09,1.15,False
CPW,2.44,"[2.26, 2.28, 2.26, 2.14, 2.26, 2.24, 2.32, 2.28, 2.24, 2.22]",3.28,0.08,-2.37,2.70,0.88,20.98,25.41,1.14,False
SVH,406.00,"[400.0, 404.0, 399.0, 399.0, 399.0, 396.0, 397.0, 399.0, 398.0, 0]",3.20,13.00,-3.61,440.00,375.00,25.53,28.05,1.13,False
TU,14.40,"[13.9, 13.9, 13.8, 13.8, 13.6, 13.4, 13.5, 13.7, 13.7, 13.7]",2.78,0.40,-1.75,16.30,10.20,15.43,10.73,1.13,True
TTW,12.00,"[11.9, 11.8, 11.7, 11.7, 11.7, 11.7, 11.7, 11.7, 11.6, 11.8]",2.50,0.30,-0.90,14.30,11.00,14.35,0,1.12,True
NDR,1.92,"[1.85, 1.78, 1.74, 1.72, 1.71, 1.76, 1.73, 1.73, 1.6, 1.67]",2.60,0.05,-3.82,2.24,0.74,14.91,0,1.12,False
NKI,49.00,"[48.0, 0, 48.0, 47.25, 47.25, 0, 46.0, 0, 47.0, 46.25]",3.06,1.50,-10.68,58.00,44.00,18.06,23.55,1.11,False
UTP,17.40,"[17.0, 17.5, 17.1, 18.2, 17.9, 18.9, 19.3, 19.5, 19.5, 19.1]",2.24,0.39,2.56,20.70,5.30,11.90,10.99,1.10,False
ZIGA,6.40,"[6.1, 6.3, 6.45, 6.15, 7.25, 7.3, 7.15, 6.8, 6.65, 6.1]",2.52,0.16,1.40,7.90,0.57,19.09,28.05,1.10,False
SAT,18.80,"[18.2, 18.5, 17.2, 17.2, 17.1, 16.9, 16.2, 16.8, 16.7, 17.2]",2.55,0.48,-3.33,19.20,7.30,13.92,21.99,1.10,False
BKI,271.00,"[271.0, 269.0, 269.0, 269.0, 269.0, 269.0, 270.0, 269.0, 269.0, 269.0]",2.21,6.00,-0.28,289.00,173.00,13.05,10.74,1.09,False
BDMS,20.20,"[20.0, 19.9, 20.1, 19.9, 20.0, 20.0, 20.1, 20.3, 20.7, 20.7]",2.72,0.55,-0.05,23.70,15.60,38.16,44.94,1.09,True
STC,0.68,"[0.67, 0.67, 0.66, 0.66, 0.67, 0.66, 0.66, 0.66, 0.68, 0.67]",2.35,0.02,-0.88,0.88,0.47,19.12,26.27,1.09,False
